YM,CUST_CD,ITM_CD,QTY,DSC_RT,SALES_ORG,SALES
201901,S0001,I116,17,20,24820000,20848796
201901,S0002,I119,21,13,1995000,1595996
201901,S0003,I108,76,18,3040000,2553596
201901,S0004,I101,40,13,1200000,983996
201901,S0005,I112,55,12,3575000,3217496
201901,S0006,I107,72,20,10800000,9287996
201901,S0007,I110,47,19,14100000,11561996
201901,S0008,I113,43,18,28810000,25064696
201901,S0009,I108,75,20,3000000,2699996
201901,S0010,I108,72,14,2880000,2303996
201901,S0011,I101,32,12,960000,815996
201901,S0012,I103,16,17,800000,695996
201901,S0013,I102,16,20,640000,518396
201901,S0014,I104,48,20,3360000,2855996
201901,S0015,I101,54,12,1620000,1441796
201901,S0016,I102,8,17,320000,287996
201901,S0017,I115,68,15,340000,299196
201901,S0018,I106,59,17,1180000,1038396
201901,S0019,I107,33,20,4950000,4157996
201901,S0020,I107,27,17,4050000,3442496
201901,S0021,I119,9,20,855000,760946
201901,S0022,I114,32,10,7680000,6374396
201901,S0023,I108,65,16,2600000,2313996
201901,S0024,I111,57,17,8550000,7181996
201901,S0025,I111,9,11,1350000,1079996
201901,S0026,I109,36,18,18000000,14939996
201901,S0027,I113,47,14,31490000,26451596
201901,S0028,I106,77,14,1540000,1262796
201901,S0029,I120,66,20,283800000,235553996
201901,S0030,I117,32,18,80000000,64799996
201901,S0031,I107,22,15,3300000,2804996
201901,S0032,I111,60,12,9000000,8099996
201901,S0033,I110,16,18,4800000,4271996
201901,S0034,I108,46,16,1840000,1490396
201901,S0035,I110,35,16,10500000,8714996
201901,S0036,I117,71,13,177500000,149099996
201901,S0037,I102,69,12,2760000,2345996
201901,S0038,I110,51,15,15300000,12545996
201901,S0039,I119,15,12,1425000,1225496
201901,S0040,I102,34,12,1360000,1142396
201901,S0041,I101,36,13,1080000,961196
201901,S0042,I116,54,12,78840000,68590796
201901,S0043,I105,80,12,8000000,6399996
201901,S0044,I113,14,11,9380000,7972996
201901,S0045,I110,79,17,23700000,19433996
